date,GTrends_BTC,GTrends_ETH
2024-08-07,47,7
2024-08-08,47,7
2024-08-09,47,7
2024-08-10,47,7
2024-08-11,32,4
2024-08-12,32,4
2024-08-13,32,4
2024-08-14,32,4
2024-08-15,32,4
2024-08-16,32,4
2024-08-17,32,4
2024-08-18,31,4
2024-08-19,31,4
2024-08-20,31,4
2024-08-21,31,4
2024-08-22,31,4
2024-08-23,31,4
2024-08-24,31,4
2024-08-25,27,4
2024-08-26,27,4
2024-08-27,27,4
2024-08-28,27,4
2024-08-29,27,4
2024-08-30,27,4
2024-08-31,27,4
2024-09-01,28,4
2024-09-02,28,4
2024-09-03,28,4
2024-09-04,28,4
2024-09-05,28,4
2024-09-06,28,4
2024-09-07,28,4
2024-09-08,28,4
2024-09-09,28,4
2024-09-10,28,4
2024-09-11,28,4
2024-09-12,28,4
2024-09-13,28,4
2024-09-14,28,4
2024-09-15,28,4
2024-09-16,28,4
2024-09-17,28,4
2024-09-18,28,4
2024-09-19,28,4
2024-09-20,28,4
2024-09-21,28,4
2024-09-22,27,3
2024-09-23,27,3
2024-09-24,27,3
2024-09-25,27,3
2024-09-26,27,3
2024-09-27,27,3
2024-09-28,27,3
2024-09-29,25,3
2024-09-30,25,3
2024-10-01,25,3
2024-10-02,25,3
2024-10-03,25,3
2024-10-04,25,3
2024-10-05,25,3
2024-10-06,26,3
2024-10-07,26,3
2024-10-08,26,3
2024-10-09,26,3
2024-10-10,26,3
2024-10-11,26,3
2024-10-12,26,3
2024-10-13,26,3
2024-10-14,26,3
2024-10-15,26,3
2024-10-16,26,3
2024-10-17,26,3
2024-10-18,26,3
2024-10-19,26,3
2024-10-20,24,3
2024-10-21,24,3
2024-10-22,24,3
2024-10-23,24,3
2024-10-24,24,3
2024-10-25,24,3
2024-10-26,24,3
2024-10-27,32,3
2024-10-28,32,3
2024-10-29,32,3
2024-10-30,32,3
2024-10-31,32,3
2024-11-01,32,3
2024-11-02,32,3
2024-11-03,52,6
2024-11-04,52,6
2024-11-05,52,6
2024-11-06,52,6
2024-11-07,52,6
2024-11-08,52,6
2024-11-09,52,6
2024-11-10,94,10
2024-11-11,94,10
2024-11-12,94,10
2024-11-13,94,10
2024-11-14,94,10
2024-11-15,94,10
2024-11-16,94,10
2024-11-17,77,8
2024-11-18,77,8
2024-11-19,77,8
2024-11-20,77,8
2024-11-21,77,8
2024-11-22,77,8
2024-11-23,77,8
2024-11-24,61,8
2024-11-25,61,8
2024-11-26,61,8
2024-11-27,61,8
2024-11-28,61,8
2024-11-29,61,8
2024-11-30,61,8
2024-12-01,70,10
2024-12-02,70,10
2024-12-03,70,10
2024-12-04,70,10
2024-12-05,70,10
2024-12-06,70,10
2024-12-07,70,10
2024-12-08,58,8
2024-12-09,58,8
2024-12-10,58,8
2024-12-11,58,8
2024-12-12,58,8
2024-12-13,58,8
2024-12-14,58,8
2024-12-15,65,8
2024-12-16,65,8
2024-12-17,65,8
2024-12-18,65,8
2024-12-19,65,8
2024-12-20,65,8
2024-12-21,65,8
2024-12-22,52,6
2024-12-23,52,6
2024-12-24,52,6
2024-12-25,52,6
2024-12-26,52,6
2024-12-27,52,6
2024-12-28,52,6
2024-12-29,48,6
